user ID,Name,Age,Gender,Academic Background,Field of Study,Skills,Industry Interest,Job Type Interest,Location Interest,Salary Expectation (in USD),desired company
986206,John Smith,28,Male+D43B100D2:D55,Bachelor's degree,Computer Science,"Java, Python, Data Structures",Technology,Full-time,New York,65000,apple
769632,Jane Doe,42,Female,Master's degree,Business,"Finance, Accounting, Microsoft Excel",Finance,Contract,London,85000,samsung
981314,David Lee,35,Male," bachelor""s degree",N/A,"Sales, Customer Service, Communication",Retail,Part-time,Chicago,30000,google
962892,Sarah Johnson,27,Female,Associate's degree,Nursing,"Patient Care, Medical Terminology",Healthcare,Full-time,Los Angeles,45000,merck & co
967782,Michael Williams,46,Male,Bachelor's degree,Marketing,"Digital Marketing, Social Media",Marketing,Freelance,Toronto,70000,ABB
986307,Samantha Lee,29,Female,Master's degree,Public Health,"Epidemiology, Biostatistics, Data Analysis",Healthcare,Full-time,Washington DC,75000,johnson &johnson
990789,Ethan Kim,33,Male,Bachelor's degree,Mechanical Eng.,"AutoCAD, MATLAB, Robotics",Engineering,Full-time,San Francisco,80000,bechtel construction
981988,Rachel Chen,25,Female,Master's degree,Computer Science,"C++, Java, Web Development",Technology,Internship,Seattle,40000,Microsoft
966890,Alexander Brown,31,Male,Bachelor's degree,Architecture,"AutoCAD, SketchUp, Adobe Photoshop",Architecture,Freelance,London,60000,bechtel construction
980703,Ashley Johnson,23,Female,Associate's degree,Culinary Arts,"Cooking, Food Safety, Kitchen Management",Hospitality,Part-time,Miami,20000,merck & co
964005,Maria Rodriguez,28,Female,Bachelor's degree,Accounting,"Tax Preparation, Financial Reporting, Excel",Finance,Full-time,New York,65000,apple
811374,Kevin Lee,24,Male,Associate's degree,IT,"Network Security, Troubleshooting, Linux",Technology,Full-time,Dallas,50000,samsung
974710,Lisa Brown,35,Female,Master's degree,Marketing,"Market Research, Strategic Planning",Marketing,Contract,Los Angeles,90000,google
958757,Daniel Park,30,Male,Bachelor's degree,Environmental Sc.,"GIS, Environmental Sampling, Data Analysis",Environmental Sc.,Full-time,Vancouver,100000,turner construction
961292,John Smith,28,Male,Bachelor's degree,Computer Science,"Java, Python, Data Structures",Technology,Full-time,New York,65000,apple
970020,Jane Doe,42,Female,Master's degree,Business,"Finance, Accounting, Microsoft Excel",Finance,Contract,London,85000,samsung
922017,David Lee,35,Male," bachelor""s degree",N/A,"Sales, Customer Service, Communication",Retail,Part-time,Chicago,30000,google
964777,Sarah Johnson,27,Female,Associate's degree,Nursing,"Patient Care, Medical Terminology",Healthcare,Full-time,Los Angeles,45000,johnson &johnson
977882,Michael Williams,46,Male,Bachelor's degree,Marketing,"Digital Marketing, Social Media",Marketing,Freelance,Toronto,70000,google
958763,Nicholas Wilson,32,Male,Bachelor's degree,Engineering,"MATLAB, SolidWorks, CAD",Engineering,Full-time,Houston,75000,ABB
992113,Olivia Davis,39,Female,Master's degree,Psychology,"Counseling, Psychotherapy",Healthcare,Contract,Miami,85000,merck & co
880743,Ethan Lee,24,Male," bachelor""s degree",N/A,"Hospitality, Cooking, Time Management",Hospitality,Part-time,San Francisco,25000,terrabog professional services 
975865,Ava Johnson,36,Female,Bachelor's degree,Graphic Design,"Adobe Photoshop, Illustrator",Creative,Freelance,Austin,55000,amazon
947028,Jacob Kim,30,Male,Master's degree,Education,"Curriculum Design, Teaching",Education,Full-time,Boston,65000,terrabog professional services 
505121,Jane Doe,42,Female,Master's degree,Marketing,"Marketing Analytics, Market Research, Advertising",Marketing,Full-time,New York,55000,samsung
995668,David Lee,24,Male,Bachelor's degree,Mechanical Engineering,"CAD, FEA, Design for Manufacturing",Manufacturing,Contract,London,35000,lockheed martin engineering 
973916,Rachel Kim,29,Female,Bachelor's degree,Psychology,"Counseling, Research Methods, Communication",Healthcare,Part-time,Chicago,45000,merck & co
987186,Michael Chen,31,Male,Master's degree,Finance,"Financial Analysis, Investment Management",Finance,Full-time,Los Angeles,80000,google
842611,Sarah Brown,25,Female,Bachelor's degree,Journalism,"Writing, Editing, Social Media Management",Media,Freelance,Toronto,45000,terrabog professional services 
974422,Kevin Davis,27,Male,Bachelor's degree,Civil Engineering,"AutoCAD, Construction Management, Project Planning",Construction,Full-time,Washington DC,55000,china state construction
979363,Emily Wilson,23,Female,Bachelor's degree,Biology,"Lab Techniques, Research Methodology, Data Analysis",Science,Full-time,San Francisco,35000,terrabog professional services 
974630,William Taylor,26,Male,Master's degree,Economics,"Econometrics, Microeconomics, Statistical Analysis",Consulting,Internship,Seattle,75000,terrabog professional services 
973788,Samantha Johnson,30,Female,Bachelor's degree,Education,"Curriculum Design, Teaching, Classroom Management",Education,Freelance,London,45000,terrabog professional services 
973482,Daniel Hernandez,33,Male,Master's degree,Public Health,"Epidemiology, Biostatistics, Health Policy",Healthcare,Part-time,Miami,40000,terrabog professional services 
991106,Jennifer Garcia,27,Female,Bachelor's degree,Graphic Design,"Adobe Creative Suite, Illustration, Typography",Design,Full-time,New York,35000,apple
979440,Liam Robinson,24,Male,Bachelor's degree,Environmental Science,"GIS, Fieldwork, Environmental Policy",Environment,Full-time,Dallas,30000,china state construction
973484,Olivia Nguyen,28,Female,Master's degree,International Business,"Cross-cultural Communication, Global Marketing",Business,Contract,Miami,65000,Microsoft
972285,   Zachary Roberts,31,Female,Bachelor's degree,Computer Science,"Java, Python, Data Structures",Health care,Full-time,San Francisco,85000,johnson &johnson
964433,   Tiffany Gonzalez,29,Female,Master's degree,Business,"Finance, Accounting, Microsoft Excel",Finance,Contract,Austin,30000,oracle
975926,   Josephine Patel,28,Male,Associate's degree,health,"medicals, Customer Service, Communication",healthcare,Part-time,Boston,45000,merck & co
994373,   Gabriela Green,34,Male,Bachelor's Degree ,Nursing,"Patient Care, Medical Terminology",Technology,Full-time,New York,70000,merck & co
983937,   Jaden James,37,Male,Master's Degree ,Marketing,"Digital Marketing, Social Media",Agriculture,Freelance,London,75000, Amazon
380569,   Natalie Brown,25,Female,Bachelor's Degree ,Public Health,"Epidemiology, Biostatistics, Data Analysis",Energy,Full-time,Chicago,80000, Apple
996554,  Sean Johnson,36,Male,Master's Degree ,Mechanical Eng.,"AutoCAD, MATLAB, Robotics",Retail,Full-time,Los Angeles,40000, Microsoft
961165,  Mia Garcia,30,Male,Bachelor's Degree ,Computer Science,"C++, Java, Web Development",Technology,Internship,Toronto,60000, Google
974409,  Andrew Lee,38,Female,Bachelor's Degree ,Architecture,"AutoCAD, SketchUp, Adobe Photoshop",Transportation,Freelance,Washington DC,20000, Facebook
960369,    Dylan Perez,22,Male,Master's Degree ,Accounting,"Tax Preparation, Financial Reporting, Excel",Marketing,Full-time,Seattle,50000, Alibaba Group
979159,    Vanessa Davis,38,Female,Bachelor's degree,IT,"Network Security, Troubleshooting, Linux",Media,Full-time,London,90000, Tencent Holdings
976112,    Matthew Rodriguez,35,Female,Master's Degree ,Marketing,"Market Research, Strategic Planning",Consulting,Contract,Miami,90000, Samsung Electronics
994018,ganiu sulaimon,26,male,master's degree,Computer Science,"excel, Python, Data Structures",Technology,Full-time, New York,120000, Intel
961571,uju judith eziokwu,27,female,Master's Degree ,Computer Science,"power bi, Python, Data Structures",Technology,Full-time, California,110000, IBM
968844,adebisi beatrice olumoko,26,female,master's degree,Computer Science,"Rstudio, Python, Data Structures",Technology,Contract, Texas,100000, Cisco Systems
965576,habeeb oluwarotimi oyekunle,25,male,Master's Degree ,Computer Science,"Rstudio, Python, Data Structures",Technology,Full-time, Florida,130000, Oracle
978440,funmiola patience usman,28,female,"master""s degree",Computer Science,"Rstudio, Python, Data Structures",Technology,Full-time, Ohio,150000, Dell Technologies
986742,Sofia,36,Female,Bachelor's degree,Industrial Engineering,Process design and optimization Lean manufacturing Quality control,technology,Full-time, Oregon,65000, HP Inc
983836,William,44,Male,Master's degree,Psychology,Cognitive behavioral therapy Psychometric testing Research design and analysis,healthcare,Contract, Colorado,85000, Sony
985335,Mia,25,Female," bachelor""s degree",Environmental Science,Data analysis and interpretation Ecosystem modeling Climate change adaptation planning,Construction,Part-time, Georgia,30000, Nokia
992476,Daniel,33,Male,Associate's degree,Computer Science,Algorithm design and analysis Object-oriented programming Database management,Technology,Full-time, Michigan,45000, Netflix
977318,Emily,24,Female,Bachelor's degree,Journalism,Investigative reporting Multimedia storytelling Data journalism,media,Freelance, Arizona,70000, Uber Technologies
997372,Michael,35,Male,Master's degree,Mechanical Engineering,Material science CAD modeling and simulation Robotics,construction,Full-time," Alberta, Canada",75000, Airbnb
